Region,Cause,Year, 0-27 days, 1-59 months, 0-4 years
Africa Region," Other communicable, perinatal and nutritional conditions",2015,1.3,6.9,8.1
Africa Region," Other communicable, perinatal and nutritional conditions",2014,1.3,7.1,8.3
Africa Region," Other communicable, perinatal and nutritional conditions",2013,1.3,7,8.3
Africa Region," Other communicable, perinatal and nutritional conditions",2012,1.4,6.9,8.3
Africa Region," Other communicable, perinatal and nutritional conditions",2011,1.4,7,8.4
Africa Region," Other communicable, perinatal and nutritional conditions",2010,1.4,7,8.5
Africa Region," Other communicable, perinatal and nutritional conditions",2009,1.5,7.1,8.7
Africa Region," Other communicable, perinatal and nutritional conditions",2008,1.5,7.1,8.6
Africa Region," Other communicable, perinatal and nutritional conditions",2007,1.6,7.3,8.8
Africa Region," Other communicable, perinatal and nutritional conditions",2006,1.6,7.4,9
Africa Region," Other communicable, perinatal and nutritional conditions",2005,1.7,7.4,9.1
Africa Region," Other communicable, perinatal and nutritional conditions",2004,1.7,7.7,9.4
Africa Region," Other communicable, perinatal and nutritional conditions",2003,1.7,7.8,9.6
Africa Region," Other communicable, perinatal and nutritional conditions",2002,1.8,8.1,9.9
Africa Region," Other communicable, perinatal and nutritional conditions",2001,1.8,8.3,10.1
Africa Region," Other communicable, perinatal and nutritional conditions",2000,1.8,8.4,10.2
Region of the Americas," Other communicable, perinatal and nutritional conditions",2015,0.8,0.6,1.4
Region of the Americas," Other communicable, perinatal and nutritional conditions",2014,0.8,0.6,1.4
Region of the Americas," Other communicable, perinatal and nutritional conditions",2013,0.9,0.6,1.5
Region of the Americas," Other communicable, perinatal and nutritional conditions",2012,0.9,0.6,1.5
Region of the Americas," Other communicable, perinatal and nutritional conditions",2011,0.8,0.7,1.5
Region of the Americas," Other communicable, perinatal and nutritional conditions",2010,0.8,0.7,1.6
Region of the Americas," Other communicable, perinatal and nutritional conditions",2009,0.8,0.8,1.6
Region of the Americas," Other communicable, perinatal and nutritional conditions",2008,0.8,0.8,1.6
Region of the Americas," Other communicable, perinatal and nutritional conditions",2007,0.8,0.9,1.7
Region of the Americas," Other communicable, perinatal and nutritional conditions",2006,0.8,1,1.8
Region of the Americas," Other communicable, perinatal and nutritional conditions",2005,0.9,1.1,1.9
Region of the Americas," Other communicable, perinatal and nutritional conditions",2004,0.9,1.2,2
Region of the Americas," Other communicable, perinatal and nutritional conditions",2003,0.9,1.3,2.2
Region of the Americas," Other communicable, perinatal and nutritional conditions",2002,0.9,1.4,2.3
Region of the Americas," Other communicable, perinatal and nutritional conditions",2001,1,1.5,2.5
Region of the Americas," Other communicable, perinatal and nutritional conditions",2000,1,1.6,2.6
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2015,1.3,1.8,3.1
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2014,1.3,1.9,3.2
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2013,1.4,2,3.4
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2012,1.5,2.1,3.6
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2011,1.6,2.3,3.9
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2010,1.7,2.4,4.1
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2009,1.8,2.6,4.4
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2008,1.9,2.8,4.7
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2007,2,3,5
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2006,2.1,3.2,5.3
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2005,2.2,3.4,5.6
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2004,2.3,3.6,5.9
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2003,2.4,3.9,6.3
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2002,2.5,4.1,6.6
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2001,2.6,4.4,7
South-East Asia Region," Other communicable, perinatal and nutritional conditions",2000,2.7,4.7,7.4
European Region," Other communicable, perinatal and nutritional conditions",2015,0.4,0.5,0.9
European Region," Other communicable, perinatal and nutritional conditions",2014,0.4,0.5,0.9
European Region," Other communicable, perinatal and nutritional conditions",2013,0.4,0.5,1
European Region," Other communicable, perinatal and nutritional conditions",2012,0.5,0.5,1
European Region," Other communicable, perinatal and nutritional conditions",2011,0.5,0.5,1
European Region," Other communicable, perinatal and nutritional conditions",2010,0.5,0.5,1
European Region," Other communicable, perinatal and nutritional conditions",2009,0.5,0.6,1.1
European Region," Other communicable, perinatal and nutritional conditions",2008,0.6,0.5,1.1
European Region," Other communicable, perinatal and nutritional conditions",2007,0.6,0.5,1.1
European Region," Other communicable, perinatal and nutritional conditions",2006,0.6,0.5,1.2
European Region," Other communicable, perinatal and nutritional conditions",2005,0.6,0.6,1.2
European Region," Other communicable, perinatal and nutritional conditions",2004,0.6,0.7,1.3
European Region," Other communicable, perinatal and nutritional conditions",2003,0.7,0.7,1.5
European Region," Other communicable, perinatal and nutritional conditions",2002,0.7,0.8,1.5
European Region," Other communicable, perinatal and nutritional conditions",2001,0.8,0.9,1.7
European Region," Other communicable, perinatal and nutritional conditions",2000,0.8,1,1.8
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2015,1.4,2.8,4.2
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2014,1.4,2.9,4.3
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2013,1.4,2.9,4.3
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2012,1.5,2.8,4.3
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2011,1.5,2.9,4.5
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2010,1.6,3,4.6
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2009,1.6,3.1,4.7
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2008,1.6,3,4.7
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2007,1.7,3.1,4.8
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2006,1.7,3.2,4.9
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2005,1.8,3.3,5.1
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2004,1.8,3.4,5.2
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2003,1.8,3.5,5.3
Eastern Mediterranean Region," Other communicable, perinatal and nutritional conditions",2002,1.9,3.5,5.4
